reqPerEdgePerSecond;name;type;processing_earnings;storage_earnings;processed_reqs;delegated_reqs;no_executables
4800;edge;EDGE;2570389,7876;94,4291;19937;556063;10
4800;intermediary;INTERMEDIARY;8560083,2666;94,4291;84771;471292;10
4800;Cloud;CLOUD;46495562,8865;94,4291;471292;0;10
4900;edge;EDGE;2589068,7004;94,4291;20029;567971;10
4900;intermediary;INTERMEDIARY;8578945,5012;94,4291;84916;483055;10
4900;Cloud;CLOUD;47656894,6067;94,4291;483055;0;10
5000;edge;EDGE;2599100,6202;94,4291;20021;579979;10
5000;intermediary;INTERMEDIARY;8569944,3710;94,4291;84926;495053;10
5000;Cloud;CLOUD;48856286,9304;94,4291;495053;0;10
5100;edge;EDGE;2601908,1620;94,4291;19982;592018;10
5100;intermediary;INTERMEDIARY;8586884,4969;94,4291;84942;507076;10
5100;Cloud;CLOUD;50039175,1979;94,4291;507076;0;10
5200;edge;EDGE;2610400,0321;94,4291;20014;603986;10
5200;intermediary;INTERMEDIARY;8574279,4374;94,4291;84685;519301;10
5200;Cloud;CLOUD;51245512,2629;94,4291;519301;0;10
5300;edge;EDGE;2598398,8332;94,4291;19917;616083;10
5300;intermediary;INTERMEDIARY;8563266,2454;94,4291;84604;531479;10
5300;Cloud;CLOUD;52469215,2715;94,4291;531479;0;10
5400;edge;EDGE;2616090,5939;94,4291;19971;628029;10
5400;intermediary;INTERMEDIARY;8574887,9317;94,4291;84716;543313;10
5400;Cloud;CLOUD;53637225,9681;94,4291;543313;0;10
5500;edge;EDGE;2625657,3785;94,4291;19985;640015;10
5500;intermediary;INTERMEDIARY;8566055,8989;94,4291;84586;555429;10
5500;Cloud;CLOUD;54829122,4650;94,4291;555429;0;10
5600;edge;EDGE;2622038,6812;94,4291;19916;652084;10
5600;intermediary;INTERMEDIARY;8554664,5683;94,4291;84428;567656;10
5600;Cloud;CLOUD;56045956,1834;94,4291;567656;0;10
5700;edge;EDGE;2639008,2934;94,4291;20037;663963;10
5700;intermediary;INTERMEDIARY;8557873,0005;94,4291;84472;579491;10
5700;Cloud;CLOUD;57222082,2755;94,4291;579491;0;10
5800;edge;EDGE;2633513,4202;94,4291;19933;676067;10
5800;intermediary;INTERMEDIARY;8575196,2832;94,4291;84667;591400;10
5800;Cloud;CLOUD;58407877,9738;94,4291;591400;0;10
5900;edge;EDGE;2653452,3607;94,4291;20033;687967;10
5900;intermediary;INTERMEDIARY;8563894,4253;94,4291;84490;603477;10
5900;Cloud;CLOUD;59603866,1442;94,4291;603477;0;10
6000;edge;EDGE;2647995,4576;94,4291;19951;700049;10
6000;intermediary;INTERMEDIARY;8574047,2649;94,4291;84446;615603;10
6000;Cloud;CLOUD;60798571,8453;94,4291;615603;0;10
6100;edge;EDGE;2647379,4364;94,4291;19934;712066;10
6100;intermediary;INTERMEDIARY;8577474,8897;94,4291;84472;627594;10
6100;Cloud;CLOUD;61994596,7019;94,4291;627594;0;10
6200;edge;EDGE;2666376,6823;94,4291;20007;723993;10
6200;intermediary;INTERMEDIARY;8550065,4653;94,4291;84293;639700;10
6200;Cloud;CLOUD;63203586,5391;94,4291;639700;0;10
6300;edge;EDGE;2669557,9929;94,4291;20003;735997;10
6300;intermediary;INTERMEDIARY;8559490,2470;94,4291;84231;651766;10
6300;Cloud;CLOUD;64391225,9170;94,4291;651766;0;10
6400;edge;EDGE;2668227,5033;94,4291;19957;748043;10
6400;intermediary;INTERMEDIARY;8575630,4954;94,4291;84344;663699;10
6400;Cloud;CLOUD;65575437,9120;94,4291;663699;0;10
6500;edge;EDGE;2667642,8072;94,4291;19966;760034;10
6500;intermediary;INTERMEDIARY;8538661,5131;94,4291;84180;675854;10
6500;Cloud;CLOUD;66812254,9785;94,4291;675854;0;10
6600;edge;EDGE;2673367,4079;94,4291;19969;772031;10
6600;intermediary;INTERMEDIARY;8577795,6046;94,4291;84254;687777;10
6600;Cloud;CLOUD;67966542,7761;94,4291;687777;0;10
6700;edge;EDGE;2683870,3552;94,4291;19998;784002;10
6700;intermediary;INTERMEDIARY;8575183,5863;94,4291;84208;699794;10
6700;Cloud;CLOUD;69156899,0167;94,4291;699794;0;10
6800;edge;EDGE;2689961,5599;94,4291;19994;796006;10
6800;intermediary;INTERMEDIARY;8537013,9689;94,4291;83959;712047;10
6800;Cloud;CLOUD;70384502,2906;94,4291;712047;0;10
6900;edge;EDGE;2702640,1907;94,4291;20067;807933;10
6900;intermediary;INTERMEDIARY;8564476,7292;94,4291;84126;723807;10
6900;Cloud;CLOUD;71546161,1341;94,4291;723807;0;10
7000;edge;EDGE;2694784,7404;94,4291;19962;820038;10
7000;intermediary;INTERMEDIARY;8576904,5841;94,4291;84193;735845;10
7000;Cloud;CLOUD;72736852,6065;94,4291;735845;0;10
7100;edge;EDGE;2697836,4290;94,4291;19968;832032;10
7100;intermediary;INTERMEDIARY;8558678,9759;94,4291;83991;748041;10
7100;Cloud;CLOUD;73948424,2086;94,4291;748041;0;10
7200;edge;EDGE;2709309,4031;94,4291;20035;843965;10
7200;intermediary;INTERMEDIARY;8561277,6502;94,4291;83978;759987;10
7200;Cloud;CLOUD;75136043,1070;94,4291;759987;0;10
7300;edge;EDGE;2692227,2435;94,4291;19849;856151;10
7300;intermediary;INTERMEDIARY;8556598,6082;94,4291;83858;772293;10
7300;Cloud;CLOUD;76354362,7338;94,4291;772293;0;10
7400;edge;EDGE;2705039,6732;94,4291;19944;868056;10
7400;intermediary;INTERMEDIARY;8529968,6748;94,4291;83790;784266;10
7400;Cloud;CLOUD;77564466,0135;94,4291;784266;0;10
7500;edge;EDGE;2710600,0034;94,4291;19936;880064;10
7500;intermediary;INTERMEDIARY;8567190,8465;94,4291;83988;796076;10
7500;Cloud;CLOUD;78719153,6890;94,4291;796076;0;10
7600;edge;EDGE;2718226,1527;94,4291;19975;892025;10
7600;intermediary;INTERMEDIARY;8534813,2792;94,4291;83694;808331;10
7600;Cloud;CLOUD;79946540,8286;94,4291;808331;0;10
7700;edge;EDGE;2731150,2291;94,4291;20030;903970;10
7700;intermediary;INTERMEDIARY;8555121,3679;94,4291;83791;820179;10
